,OFIPS,DFIPS,comm,quantity,startRR,ONode,DNode,ODIST
189,13275,47157,1,3275.2,555,13065.0,47008,0.0
190,13277,21067,1,6408.0,555,13029.0,21008,0.0
191,13277,47157,1,86536.48,555,13029.0,47008,0.0
192,13287,5131,1,3346.4,555,13021.0,5019,0.0
193,13287,21067,1,34532.0,555,13021.0,21008,0.0
194,13287,47157,1,6977.6,555,13021.0,47008,0.0
195,13287,51015,1,3132.8,555,13021.0,51003,0.0
196,17031,12086,1,3560.0,555,17185.0,12027,0.0
197,17031,12031,1,3916.0,555,17185.0,12028,0.0
198,17031,13067,1,2848.0,555,17185.0,13070,0.0
199,17031,13211,1,8045.6,555,17185.0,13067,0.0
200,17031,21067,1,6052.0,555,17185.0,21008,0.0
201,17031,21111,1,6870.8,555,17185.0,21035,0.0
202,17031,24043,1,5696.0,555,17185.0,24013,0.0
203,17031,24510,1,4272.0,555,17185.0,24007,0.0
204,17031,25017,1,356.0,555,17185.0,25005,0.0
205,17031,34017,1,52688.0,555,17185.0,34007,0.0
206,17031,34039,1,1780.0,555,17185.0,34002,0.0
207,17031,36001,1,356.0,555,17185.0,36006,0.0
208,17031,36029,1,2492.0,555,17185.0,36025,0.0
209,17031,37119,1,5340.0,555,17185.0,37071,0.0
210,17031,39049,1,1068.0,555,17185.0,39005,0.0
211,17031,39095,1,3132.8,555,17185.0,39043,0.0
212,17031,42011,1,4343.2,555,17185.0,42004,0.0
213,17031,42017,1,19224.0,555,17185.0,42058,0.0
214,17031,42035,1,3560.0,555,17185.0,42030,0.0
215,17031,42043,1,7476.0,555,17185.0,42039,0.0
216,17031,42077,1,12427.96,555,17185.0,42005,0.0
217,17031,42079,1,4239.96,555,17185.0,42008,0.0
218,17031,42095,1,356.0,555,17185.0,42043,0.0
219,17031,42097,1,17942.4,555,17185.0,42038,0.0
220,17031,42107,1,11666.12,555,17185.0,42004,0.0
221,17031,42119,1,13528.0,555,17185.0,42038,0.0
222,17031,47029,1,3524.4,555,17185.0,47034,0.0
223,17031,47059,1,6408.0,555,17185.0,47036,0.0
