,OFIPS,startRR,ONODE,ODIST
173,29095.0,777.0,29052.0,9.82181912
174,29510.0,777.0,29045.0,0.686270116
175,30005.0,777.0,30019.0,33.65348583
176,30007.0,777.0,30003.0,33.54204248
177,30009.0,777.0,56005.0,26.81338841
178,30013.0,777.0,30002.0,13.4718768
179,30015.0,777.0,30023.0,10.71710855
180,30021.0,777.0,30011.0,14.83308496
181,30027.0,777.0,30034.0,35.85201554
182,30029.0,777.0,30021.0,15.65277141
183,30035.0,777.0,30020.0,10.69112036
184,30041.0,777.0,30019.0,20.94187263
185,30045.0,777.0,30034.0,23.42139454
186,30051.0,777.0,30001.0,38.34342744
187,30073.0,777.0,30001.0,25.70555532
188,30083.0,777.0,30010.0,27.63745579
189,30085.0,777.0,30014.0,35.22182067
190,30091.0,777.0,30014.0,25.13238832
191,30099.0,777.0,30025.0,3.743662163
192,30101.0,777.0,30001.0,12.66315322
193,30105.0,777.0,30018.0,11.57625972
194,30111.0,777.0,30008.0,3.712663214
195,31013.0,777.0,31003.0,13.72174709
196,31029.0,777.0,31040.0,61.31265424
197,31033.0,777.0,31016.0,5.329806295
198,31055.0,777.0,31028.0,11.32685532
199,31057.0,777.0,31040.0,56.63961686
200,31065.0,777.0,31004.0,17.06088866
201,31123.0,777.0,31002.0,5.752275498
202,31135.0,777.0,31040.0,70.61879983
203,31157.0,777.0,31002.0,32.43704996
204,31159.0,777.0,31012.0,2.801337593
205,31181.0,777.0,31001.0,6.955103395
206,38003.0,777.0,38034.0,27.81103806
207,38005.0,777.0,38029.0,15.82177122
208,38009.0,777.0,38007.0,15.65445745
209,38011.0,777.0,38036.0,43.00983752
210,38013.0,777.0,38028.0,13.0985482
211,38017.0,777.0,38001.0,2.395770785
212,38019.0,777.0,38023.0,4.041224473
213,38021.0,777.0,46003.0,40.18214668
214,38023.0,777.0,38005.0,10.8030951
215,38031.0,777.0,38015.0,32.87840774
216,38033.0,777.0,30011.0,42.94737123
217,38035.0,777.0,38013.0,7.290426466
218,38039.0,777.0,38015.0,26.9333445
219,38049.0,777.0,38003.0,23.6673044
220,38057.0,777.0,38016.0,3.023001461
221,38061.0,777.0,38018.0,8.553830342
222,38063.0,777.0,38015.0,13.12991587
223,38067.0,777.0,38021.0,5.917409811
224,38071.0,777.0,38029.0,22.02535137
225,38073.0,777.0,38031.0,35.71999574
226,38077.0,777.0,38030.0,15.40162665
227,38089.0,777.0,38016.0,49.01688113
228,38091.0,777.0,38014.0,18.13356076
229,38093.0,777.0,38040.0,12.5597009
230,38097.0,777.0,38014.0,12.24805304
231,38099.0,777.0,38011.0,14.75514212
232,38101.0,777.0,38027.0,11.14133609
233,38105.0,777.0,38037.0,14.83132002
234,40045.0,777.0,40002.0,62.99776351
235,40047.0,777.0,40011.0,5.321867856
236,40065.0,777.0,40003.0,4.734477003
237,40095.0,777.0,40017.0,19.40273365
238,40109.0,777.0,40009.0,5.749784767
239,41043.0,777.0,41022.0,65.17822325
240,41051.0,777.0,41017.0,12.21798084
241,46005.0,777.0,46011.0,4.631626276
242,46015.0,777.0,46006.0,53.15278014
243,46045.0,777.0,46012.0,35.30750841
244,46065.0,777.0,46002.0,75.09027333
245,46069.0,777.0,46002.0,50.67703401
246,46105.0,777.0,38036.0,36.068262
247,47157.0,777.0,47014.0,5.40772889
248,48011.0,777.0,48002.0,30.94929191
249,48061.0,777.0,48012.0,16.73295684
250,48179.0,777.0,48002.0,58.09611252
251,48189.0,777.0,48010.0,11.32845551
252,48201.0,777.0,48095.0,3.538944793
253,48219.0,777.0,48011.0,28.22864732
254,48303.0,777.0,48011.0,2.140298959
255,48309.0,777.0,48006.0,32.73386508
