,OID,ML_CLASS,LINK_TYPE,RR1,RR2,RR3,RR4,RR5,NO_TRACKS,SIGNAL,CAPY_CODE,FF_SPEED,East,SIGNAL_,TERRAIN_,DIRECTION_,SIDING_,MISSING_,AutoFlag_,A_NODE,B_NODE,LENGTH,oldID,RR6,AutoFlag1_,AutoFlag2_,AutoFlag3_,AutoFlag4_,AutoFlag5_,AutoFlag6_,ID,qty
2496,-1,0,4,777,802,0,0,0,2,1,1,65,0,CTC,FLAT,BI,-99,0,6,48055,48054,0.116325310186,0,0,1,1,1,1,1,1,4848137,157934880.0
2497,-1,0,4,777,802,0,0,0,2,1,1,65,0,CTC,FLAT,BI,-99,0,6,48055,48053,2.28759027706,0,0,1,1,1,1,1,1,4848138,110239632.0
2498,-1,0,2,777,802,105,0,0,1,1,7,40,0,CTC,HILLY,BI,15,0,6,27042,27024,1.17393956481,0,0,1,1,1,1,1,1,2727061,140998192.0
2499,-1,0,3,777,0,0,0,0,2,1,1,70,0,CTC,FLAT,SD,-99,0,6,48052,48002,1.27615460881,0,0,1,1,1,1,1,1,4848139,54321680.0
2500,-1,0,4,777,0,0,0,0,2,1,5,55,0,CTC,HILLY,BI,-99,0,6,8003,8018,0.898942473087,0,0,1,1,1,1,1,1,808024,21620532.0
2501,-1,0,2,777,802,0,0,0,1,1,6,60,0,CTC,HILLY,BI,5,0,6,8021,8013,1.86746007239,0,0,1,1,1,1,1,1,808025,30021416.0
2502,-1,0,2,400,777,802,0,0,1,1,2,55,0,CTC,FLAT,BI,5,0,6,48057,48018,0.0688258601357,0,0,1,1,1,1,1,1,4848140,82964368.0
2503,-1,0,2,802,0,0,0,0,1,1,6,50,0,CTC,HILLY,BI,5,0,0,17035,55010,58.4422955978,0,0,0,0,0,0,0,0,1755003,10021276.0
2504,-1,0,2,103,0,0,0,0,1,1,3,50,0,CTC,FLAT,BI,15,0,0,55038,55005,272.680683905,0,0,0,0,0,0,0,0,5555014,40633080.0
2505,-1,0,2,802,0,0,0,0,1,4,7,45,0,NON,HILLY,BI,15,0,0,48106,48058,8.69212278453,0,0,0,0,0,0,0,0,4848141,31815320.0
2506,-1,0,2,400,0,0,0,0,1,1,4,55,0,CTC,FLAT,BI,25,0,0,48013,48014,145.286405567,0,0,0,0,0,0,0,0,4848142,45925928.0
2507,-1,0,4,400,0,0,0,0,2,1,1,55,0,CTC,FLAT,BI,-99,0,5,48032,48100,6.25141267518,0,0,1,1,1,1,1,0,4848143,5372995.5
