,ID,A_NODE,B_NODE,LENGTH,TTIME,CAPACITY,P1,P2,GAMMA,TADJ,ML_CLASS,LINK_TYPE,NO_RRS,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
1775,38007,38002,38013,24.30318,24.30318,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1776,38008,38002,38032,0.37431,0.45833877551,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1777,38009,38033,38004,39.82451,39.82451,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1778,38010,38003,38034,185.13374,185.13374,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1779,38011,38003,38027,7.18519,7.18519,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1780,38012,38004,38034,0.31336,0.31336,31.0,0.010519,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1781,38013,38004,38015,66.53698,159.688752,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1782,30001,30011,38017,208.28368,249.940416,43.2,0.01011,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1783,38014,38037,38018,66.9548,66.9548,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1784,38015,38018,38020,29.11862,29.11862,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1785,38016,38027,38020,22.43892,22.43892,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1786,30002,30010,38037,27.86829,33.441948,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1787,30003,30018,30015,118.49014,109.375513846,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1788,30004,30010,30015,11.36583,10.4915353846,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1789,38017,38016,38017,77.13245,185.11788,16.5,0.019724,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1790,38018,38038,38018,24.91343,149.48058,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1791,38019,38020,38019,34.20116,82.082784,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1792,38020,38028,38019,6.85631,16.455144,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1793,38021,38024,38007,42.31983,101.567592,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1794,38022,38008,38029,47.15553,113.173272,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1795,38023,38035,38021,20.13809,48.331416,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1796,38024,38011,38035,1.4963,3.59112,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1797,38025,38011,38012,14.255,34.212,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1798,38026,38032,38012,24.09048,57.817152,9.9,0.032873,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1799,30005,30019,30013,111.64627,95.6968028571,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1800,30006,30018,30013,40.24669,34.4971628571,51.6,0.006312,21.631586,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1801,30007,30001,30020,49.93128,49.93128,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1802,30008,30001,30019,104.88674,104.88674,216.0,0.002022,7.879387,10.0,0,0,4,1,777,0,0,0,0,0,0,0
1803,30009,30020,30021,100.30601,133.741346667,204.0,0.001669,11.600313,13.0,0,0,4,1,777,0,0,0,0,0,0,0
1804,30010,30021,16007,151.19042,164.935003636,72.0,0.006066,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1805,16001,16002,16007,32.52628,35.4832145455,72.0,0.006066,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1806,30011,30009,30011,35.97171,39.2418654545,21.6,0.020219,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1807,30012,30003,30002,94.86373,227.672952,8.3,0.052654,15.758774,25.0,0,0,2,1,777,0,0,0,0,0,0,0
1808,30013,30002,30022,0.64609,0.861453333333,13.1,0.026081,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
1809,30014,30034,30007,122.31371,163.084946667,13.1,0.026081,23.200626,32.5,0,0,2,1,777,0,0,0,0,0,0,0
