  154    4    399.24      0.04     95.67      1.14     47.00102.6 27.5    8587.2
  154    5    379.49      0.04     95.67      1.14     47.00117.5 19.3   13675.1
  154    6    382.21      0.04     95.67      1.14     47.00 90.2 28.3    7821.0
  154    7    476.82      0.04     95.67      1.14    196.00 62.8 49.8    7433.4
  154    8    424.63      0.04     95.67      1.14    196.00 75.8 42.4    7801.6
  154    9    518.94      0.04     95.67      1.14    196.00 88.1 29.2    7745.2
  154   10    951.83      0.04     95.67      1.14    196.00 19.8 52.1    4747.7
  154   11    748.78      0.04     95.67      1.14    340.00 12.1 86.8   11869.9
  154   12    806.08      0.04     95.67      1.14    340.00 14.1 81.8    6331.6
  155    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  155    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  155    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
  155    4    399.24      0.04     95.67      1.14     47.00102.6 27.5    8587.2
  155    5    379.49      0.04     95.67      1.14     47.00117.5 19.3   13675.1
  155    6    382.21      0.04     95.67      1.14     47.00 90.2 28.3    7821.0
  155    7    476.82      0.04     95.67      1.14    196.00 62.8 49.8    7433.4
  155    8    424.63      0.04     95.67      1.14    196.00 75.8 42.4    7801.6
  155    9    518.94      0.04     95.67      1.14    196.00 88.1 29.2    7745.2
  155   10    951.83      0.04     95.67      1.14    196.00 19.8 52.1    4747.7
  155   11    748.78      0.04     95.67      1.14    340.00 12.1 86.8   11869.9
  155   12    806.08      0.04     95.67      1.14    340.00 14.1 81.8    6331.6
  258    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  258    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  258    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
  258    4    399.24      0.04     95.67      1.14     47.00102.6 27.5    8587.2
  258    5    379.49      0.04     95.67      1.14     47.00117.5 19.3   13675.1
  258    6    382.21      0.04     95.67      1.14     47.00 90.2 28.3    7821.0
  258    7    476.82      0.04     95.67      1.14    196.00 62.8 49.8    7433.4
  258    8    424.63      0.04     95.67      1.14    196.00 75.8 42.4    7801.6
  258    9    518.94      0.04     95.67      1.14    196.00 88.1 29.2    7745.2
  258   10    951.83      0.04     95.67      1.14    196.00 19.8 52.1    4747.7
  258   11    748.78      0.04     95.67      1.14    340.00 12.1 86.8   11869.9
  258   12    806.08      0.04     95.67      1.14    340.00 14.1 81.8    6331.6
  263    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  263    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  263    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
  263    4    399.24      0.04     95.67      1.14     47.00102.6 27.5    8587.2
  263    5    379.49      0.04     95.67      1.14     47.00117.5 19.3   13675.1
  263    6    382.21      0.04     95.67      1.14     47.00 90.2 28.3    7821.0
  263    7    476.82      0.04     95.67      1.14    196.00 62.8 49.8    7433.4
  263    8    424.63      0.04     95.67      1.14    196.00 75.8 42.4    7801.6
  263    9    518.94      0.04     95.67      1.14    196.00 88.1 29.2    7745.2
  263   10    951.83      0.04     95.67      1.14    196.00 19.8 52.1    4747.7
  263   11    748.78      0.04     95.67      1.14    340.00 12.1 86.8   11869.9
  263   12    806.08      0.04     95.67      1.14    340.00 14.1 81.8    6331.6
  277    1    410.36      0.04     95.67      1.14    196.00 53.9 61.0    7583.4
  277    2    387.92      0.04     95.67      1.14     47.00105.1 26.8    8709.9
  277    3    388.86      0.04     95.67      1.14     47.00103.9 24.2    8457.0
